lon	lat	Moy
-5.59	11.42	1184.22833333333
-5.34	11.42	1217.835
-5.09	11.42	1255.26555555556
-7.84	11.67	1009.96666666667
-7.59	11.67	987.944444444444
-7.34	11.67	963.352222222222
-7.09	11.67	948.455555555556
-6.84	11.67	980.599444444444
-6.59	11.67	998.916666666667
-6.34	11.67	992.038333333333
-6.09	11.67	1000.84055555556
-5.84	11.67	1016.81611111111
-5.59	11.67	1047.56944444444
-5.34	11.67	1081.81388888889
-5.09	11.67	1104.59833333333
-4.84	11.67	1137.57333333333
-4.59	11.67	1172.19833333333
-7.84	11.92	971.384444444444
-7.59	11.92	950.348333333333
-7.34	11.92	928.022777777778
-7.09	11.92	932.994444444444
-6.84	11.92	914.488888888889
-6.59	11.92	912.16
-6.34	11.92	902.004444444444
-6.09	11.92	890.281111111111
-5.84	11.92	895.646666666667
-5.59	11.92	911.627777777778
-5.34	11.92	935.756666666667
-5.09	11.92	966.028333333333
-4.84	11.92	1000.62722222222
-4.59	11.92	1064.79666666667
-7.59	12.17	905.501666666667
-7.34	12.17	883.229444444444
-7.09	12.17	873.4
-6.84	12.17	855.300555555556
-6.59	12.17	839.957777777778
-6.34	12.17	828.926666666667
-6.09	12.17	811.073333333333
-5.84	12.17	807.409444444444
-5.59	12.17	812.206666666667
-5.34	12.17	828.549444444444
-5.09	12.17	867.220555555556
-4.84	12.17	910.662777777778
-4.59	12.17	951.991111111111
-7.34	12.42	835.968888888889
-7.09	12.42	815.042222222222
-6.84	12.42	796.463888888889
-6.59	12.42	778.872777777778
-6.34	12.42	758.820555555556
-6.09	12.42	748.942222222222
-5.84	12.42	743.566666666667
-5.59	12.42	740.765
-5.34	12.42	752.287777777778
-5.09	12.42	773.968888888889
-4.84	12.42	802.833333333333
-4.59	12.42	828.491111111111
-7.09	12.67	762.536111111111
-6.84	12.67	745.906666666667
-6.59	12.67	728.727777777778
-6.34	12.67	709.52
-6.09	12.67	699.094444444444
-5.84	12.67	693.125
-5.59	12.67	689.627777777778
-5.34	12.67	685.785555555556
-5.09	12.67	697.503333333333
-4.84	12.67	717.413333333333
-4.59	12.67	745.463333333333
-6.84	12.92	702.615555555556
-6.59	12.92	683.614444444444
-6.34	12.92	668.467777777778
-6.09	12.92	660.207222222222
-5.84	12.92	648.211666666667
-5.59	12.92	643.475555555556
-5.34	12.92	643.542222222222
-5.09	12.92	648.844444444444
-4.84	12.92	667.368333333333
-4.59	12.92	696.028888888889
-4.34	12.92	730.425
-6.59	13.17	650.856111111111
-6.34	13.17	636.247777777778
-6.09	13.17	626.032222222222
-5.84	13.17	619.038888888889
-5.59	13.17	614.356111111111
-5.34	13.17	615.805
-5.09	13.17	627.397777777778
-4.84	13.17	643.445
-4.59	13.17	663.132777777778
-4.34	13.17	690.238333333333
-6.09	13.42	599.252777777778
-5.84	13.42	589.32
-5.59	13.42	584.981666666667
-5.34	13.42	587.131111111111
-5.09	13.42	597.796666666667
-4.84	13.42	612.715
-4.59	13.42	627.779444444444
-4.34	13.42	648.270555555556
-4.09	13.42	670.979444444444
-5.84	13.67	562.419444444444
-5.59	13.67	555.905555555556
-4.59	13.67	585.830555555556
-4.34	13.67	600.960555555556
-4.09	13.67	618.079444444444
-3.84	13.67	650.465555555556
-4.34	13.92	545.948333333333
