Date,PPR,CHIRPS,PCDR
7-Apr,0.204410681,0.639337017,2.728827502
8-Apr,0.140999079,0.410914671,1.961104972
9-Apr,0.159688183,0.450414365,1.902440147
10-Apr,1.086108973,1.055755065,2.019027011
11-Apr,0.613961054,1.159548803,2.255128913
12-Apr,2.736599813,0.972704113,2.452191529
13-Apr,1.290448127,0.670030694,3.418729282
14-Apr,0.438844728,0.888075506,3.009594843
15-Apr,0.541731123,0.934330878,2.092900552
16-Apr,1.281708879,0.765807244,3.862387968
17-Apr,1.235541002,1.262753223,4.221958257
18-Apr,1.697193817,1.097866789,2.800478821
19-Apr,0.765081252,0.720586249,2.963278085
20-Apr,0.248345973,1.017958871,4.99538674
21-Apr,1.29066288,0.942326581,3.13024248
22-Apr,1.784998517,1.79359116,3.159898711
23-Apr,3.635848456,1.500813382,4.762237569
24-Apr,0.339787643,1.812262121,2.979352363
25-Apr,2.06601604,0.778971762,2.386006753
26-Apr,1.102480716,1.402513812,2.980920811
27-Apr,1.776951566,2.517685697,4.129545734
28-Apr,1.390723802,0.988824432,4.364143646
29-Apr,0.855067354,1.519941679,3.658901166
30-Apr,0.668211576,1.07335175,4.55694291
1-May,0.504788145,1.598775322,3.865564764
2-May,0.467798919,1.527655003,7.108848987
3-May,0.707722115,1.660024555,5.159119091
4-May,1.34780066,2.257381829,5.892553714
5-May,0.609219346,2.435429711,5.271494782
6-May,2.202468151,2.056949049,6.313428483
7-May,0.932105586,2.248275015,4.242802333
8-May,1.868089974,1.838879681,5.779469
9-May,3.715656153,2.123179865,5.559889503
10-May,0.523641743,1.797237569,5.431375077
11-May,2.734029563,1.983818293,8.28330264
12-May,3.903201489,3.536817065,2.615798035
13-May,1.960974524,2.096820135,4.531691221
14-May,2.580838505,2.337682627,3.567922038
15-May,2.773136066,2.265856354,6.037209945
16-May,3.366850829,2.392357275,5.542679558
17-May,1.125394931,3.175202578,5.015270104
18-May,2.105858998,3.149155924,5.437308164
19-May,3.760020645,2.58888582,5.428170657
20-May,4.153202834,1.730936157,4.4268938
21-May,3.743534859,2.502111725,4.39315531
22-May,2.33542154,2.174966237,4.503898097
23-May,1.200853094,2.390653775,4.748063229
24-May,1.476986147,1.330021486,5.760082873
25-May,3.405654396,3.377519951,4.838870473
26-May,3.425791931,1.743554328,3.533314917
27-May,3.114977904,3.309689994,6.404337017
28-May,4.846366489,4.365742787,5.49335482
29-May,3.569492985,2.275202578,5.424235727
30-May,2.382858582,3.185426642,5.041270719
31-May,4.503826812,3.71650399,3.592412523
1-Jun,2.956036902,5.48378146,4.431111111
